"","strain","FEMALES_body_weight","group"
"1","129S1/SvImJ",19.1,"control"
"2","129S1/SvImJ",17.9,"control"
"3","129S1/SvImJ",18.3,"control"
"4","129S1/SvImJ",20.2,"control"
"5","129S1/SvImJ",18.8,"control"
"6","129S1/SvImJ",19.4,"control"
"7","129S1/SvImJ",18.3,"control"
"8","129S1/SvImJ",17.2,"control"
"9","129S1/SvImJ",19.7,"control"
"10","129S1/SvImJ",NA,"control"
"11","129S1/SvImJ",NA,"control"
"12","129S1/SvImJ",NA,"control"
"13","129S1/SvImJ",NA,"control"
"14","129S1/SvImJ",NA,"control"
"15","129S1/SvImJ",NA,"control"
"16","129S1/SvImJ",NA,"control"
"17","129S1/SvImJ",19.3,"control"
"18","129S1/SvImJ",NA,"control"
"19","129S1/SvImJ",NA,"control"
"20","A/J",22.2,"control"
"21","A/J",22.5,"control"
"22","A/J",20.7,"control"
"23","A/J",NA,"control"
"24","A/J",NA,"control"
"25","A/J",NA,"control"
"26","A/J",NA,"control"
"27","A/J",NA,"control"
"28","A/J",NA,"control"
"29","A/J",NA,"control"
"30","A/J",NA,"control"
"31","A/J",NA,"control"
"32","A/J",18.9,"control"
"33","A/J",NA,"control"
"34","A/J",17.8,"control"
"35","A/J",18.1,"control"
"36","A/J",20.5,"control"
"37","A/J",19.1,"control"
"38","A/J",20.9,"control"
"39","A/J",28.5,"control"
"40","AKR/J",NA,"control"
"41","AKR/J",NA,"control"
"42","AKR/J",37.4,"control"
"43","AKR/J",23.1,"control"
"44","AKR/J",29.2,"control"
"45","AKR/J",22,"control"
"46","AKR/J",21.1,"control"
"47","AKR/J",18.9,"control"
"48","AKR/J",24,"control"
"49","AKR/J",28.7,"control"
"50","AKR/J",31,"control"
"51","AKR/J",NA,"control"
"52","AKR/J",NA,"control"
"53","AKR/J",NA,"control"
"54","AKR/J",NA,"control"
"55","AKR/J",NA,"control"
"56","AKR/J",NA,"control"
"57","AKR/J",NA,"control"
"58","AKR/J",NA,"control"
"59","BALB/cByJ",NA,"control"
